"Extensions","Erweiterungen"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Verbinden Sie Ihren Adobe Commerce (Magento)-Shop mit globalen eBay-Marktplätzen, einschließlich eBay Motors. Automatisieren Sie Auflistungen, die Synchronisierung des Lagerbestands und die Auftragsverwaltung für ein reibungsloses Multichannel-Verkaufserlebnis."
"List and update products on eBay from your Magento system.","Produkte auf eBay von Ihrem Magento-System aus auflisten und aktualisieren."
"Handle eBay orders directly in Magento.","Verwalten Sie eBay-Bestellungen direkt in Magento."
"Flexible stock & pricing rules","Flexible Regeln für Lagerbestände und Preisgestaltung"
"Adjust quantities and prices dynamically per marketplace.","Passen Sie Mengen und Preise dynamisch an den jeweiligen Marktplatz an."
"eBay Motors compatibility","Kompatibilität mit eBay Motors"
"List auto parts with the Parts Compatibility feature.","Autoteile mit der Funktion Teile-Kompatibilität auflisten."
"Promotional tools","Werbemittel"
"Apply and manage eBay promotions for your listings.","Wenden Sie eBay-Werbeaktionen an und verwalten Sie diese für Ihre Auflistungen."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Verbinden Sie Ihren Adobe Commerce (Magento)-Shop mit dem Online-Marktplatz von Kaufland in Europa und erreichen Sie mehr als 30+ Millionen Besucher pro Monat."
"Automated product mapping","Automatische Produktzuordnung"
"Link your existing Kaufland listings with Magento products.","Verknüpfen Sie Ihre bestehenden Kaufland-Auflistungen mit Magento-Produkten."
"Easy product listing","Einfache Produktauflistung"
"List and update products on Kaufland from your Magento system.","Produkte auf Kaufland von Ihrem Magento-System aus auflisten und aktualisieren."
"Real-time inventory synchronization","Echtzeit-Bestandssynchronisierung"
"Automatically update stock levels to prevent overselling.","Aktualisieren Sie die Lagerbestände automatisch, um Überverkäufe zu vermeiden."
"Handle Kaufland orders directly within Magento.","Kaufland-Bestellungen direkt in Magento bearbeiten."
"Adjust product quantities and prices dynamically for Kaufland.","Passen Sie Produktmengen und Preise dynamisch für Kaufland an."
"Connect your Adobe Commerce (Magento) store with OnBuy, Europe’s rapidly growing marketplace and reach over 5 million monthly visitors.","Verbinden Sie Ihren Adobe Commerce (Magento)-Shop mit OnBuy, Europas schnell wachsendem Marktplatz, und erreichen Sie über 5 Millionen monatliche Besucher."
"Link your existing OnBuy listings with Magento products.","Verknüpfen Sie Ihre bestehenden Auflistungen bei OnBuy mit Magento-Produkten."
"List and update products on OnBuy from your Magento system.","Produkte auf OnBuy von Ihrem Magento-System aus auflisten und aktualisieren."
"Handle OnBuy orders directly within Magento.","Verwalten Sie OnBuy-Bestellungen direkt in Magento."
"Adjust product quantities and prices dynamically for OnBuy.","Passen Sie Produktmengen und -preise dynamisch für OnBuy an."
"Connect your Adobe Commerce (Magento) store with OTTO Market, one of Germany’s leading online retailers with over 60 million monthly visitors.","Verbinden Sie Ihren Adobe Commerce (Magento)-Shop mit OTTO Market, einem der führenden Online-Händler Deutschlands mit über 60 Millionen Besuchern pro Monat."
"Link your existing OTTO listings with Magento products.","Verknüpfen Sie Ihre bestehenden Auflistungen bei OTTO mit Magento-Produkten."
"List and update products on OTTO from your Magento system.","Produkte auf OTTO von Ihrem Magento-System aus auflisten und aktualisieren."
"Handle OTTO orders directly within Magento.","Verwalten Sie OTTO-Bestellungen direkt in Magento."
"Adjust product quantities and prices dynamically for OTTO.","Passen Sie Produktmengen und -preise dynamisch für OTTO an."
"Connect your Adobe Commerce (Magento) store with TikTok Shop and reach a vast audience in multiple countries across the globe.","Verbinden Sie Ihren Adobe Commerce (Magento)-Shop mit TikTok Shop und erreichen Sie ein großes Publikum in mehreren Ländern auf der ganzen Welt."
"Quickly list and categorize products from Magento on TikTok Shop.","Produkte von Magento schnell auf TikTok Shop auflisten und kategorisieren."
"Handle TikTok Shop orders directly within Magento.","Verwalten Sie TikTok-Shop-Bestellungen direkt in Magento."
"Adjust product quantities and prices dynamically for TikTok Shop.","Passen Sie Produktmengen und -preise dynamisch für TikTok Shop an."
"Manage items with TikTok Shop promotions applied.","Verwalten Sie Artikel mit TikTok Shop-Werbeaktionen."
"Connect your Adobe Commerce (Magento) store with Walmart U.S. and Canadian marketplaces, reaching over 120 million online shoppers monthly.","Verbinden Sie Ihren Adobe Commerce (Magento)-Shop mit den Marktplätzen von Walmart in den USA und Kanada und erreichen Sie so monatlich über 120 Millionen Online-Käufer."
"Link your Magento products to Walmart's catalog.","Verknüpfen Sie Ihre Magento-Produkte mit dem Walmart-Katalog."
"Handle Walmart orders directly within Magento.","Walmart-Bestellungen direkt in Magento bearbeiten."
"Walmart Fulfillment Services (WFS) support","Unterstützung durch Walmart Fulfillment Services (WFS)"
"Integrate and manage WFS orders.","WFS-Bestellungen integrieren und verwalten."
"Unique SKU generation","Einmalige SKU-Generierung"
"Prevent duplicate SKUs and data inaccuracies.","Vermeiden Sie doppelte SKUs und ungenaue Daten."
"Use 'Clearance' and 'Reduced Price' badges to boost sales.","Verwenden Sie die Abzeichen 'Ausverkauf' und 'Reduzierter Preis', um den Verkauf anzukurbeln."
"Custom shipping options","Individuelle Versandoptionen"
"Offer various shipping carriers and create smart shipping rules.","Bieten Sie verschiedene Versanddienstleister an und erstellen Sie intelligente Versandregeln."
"Connect your Adobe Commerce (Magento) store with Temu, one of the fastest-growing marketplaces with 100M+ shoppers.","Verbinden Sie Ihren Adobe Commerce (Magento) Shop mit Temu, einem der am schnellsten wachsenden Marktplätze mit mehr als 100M+ Käufern."
"Quickly list and categorize products from Magento on Temu.","Schnelles Auflisten und Kategorisieren von Produkten aus Magento auf Temu."
"Handle Temu orders directly within Magento.","Bearbeiten Sie Temu-Bestellungen direkt in Magento."
"Adjust product quantities and prices dynamically for Temu.","Passen Sie Produktmengen und Preise dynamisch für Temu an."
"If you're selling in the US, take advantage of our exclusive offer.","Wenn Sie in den USA verkaufen, profitieren Sie von unserem exklusiven Angebot."
"Start selling on Temu","Verkaufen auf Temu beginnen"
"with M2E and get a 90-day free trial for M2E Connect extension.","mit M2E und erhalten Sie eine 90-tägige kostenlose Testversion der M2E Connect Erweiterung."
